Name,DOE Criticality Rating Tier,Business Unit
Jump Server - OWS Management for Central Lan ,0 - Tier 0,CTO Apps
Key Management Server (KMS) ,0 - Tier 0,CTO Apps
Lenovo Unified Workspace ,0 - Tier 0,CTO Apps
Lenovo xClarity Administrator ,0 - Tier 0,CTO Apps
Lexmark Data Collection Manager ,0 - Tier 0,CTO Apps
Lexmark Markvision Enterprise (MVE) ,0 - Tier 0,CTO Apps
Local Administrator Password Solution (LAPS) ,0 - Tier 0,CTO Apps
Lync ,0 - Tier 0,CTO Apps
Magic ,0 - Tier 0,CTO Apps
Management Servers ,0 - Tier 0,CTO Apps
Microsoft Active Directory (ADCS) ,0 - Tier 0,CTO Apps
Microsoft Active Directory (ADDS ADCS) ,0 - Tier 0,CTO Apps
Mitel Reporting ,0 - Tier 0,CTO Apps
Netscout ,0 - Tier 0,CTO Apps
Network team servers,0 - Tier 0,CTO Apps
Networker ,0 - Tier 0,CTO Apps
NICE ,0 - Tier 0,CTO Apps
NOC Homepage ,0 - Tier 0,CTO Apps
NOC Monitoring Dashboards (Nagios) ,0 - Tier 0,CTO Apps
NSX ,0 - Tier 0,CTO Apps
NTP servers for Network Devices ,0 - Tier 0,CTO Apps
Office 365 (O365) ,0 - Tier 0,CTO Apps
Office 365 Powershell ,0 - Tier 0,CTO Apps
Omnicast 4.0 4.7 and 4.8 ,0 - Tier 0,CTO Apps
Power Protect Data Manager (PPDM) ,0 - Tier 0,CTO Apps
Print Servers ,0 - Tier 0,CTO Apps
Quest Active Roles ,0 - Tier 0,CTO Apps
Quest Authentication Service ,0 - Tier 0,CTO Apps
Quest Change Auditor ,0 - Tier 0,CTO Apps
Quest IT Security Search ,0 - Tier 0,CTO Apps
Quest Management Console ,0 - Tier 0,CTO Apps
Quest Recovery Manager ,0 - Tier 0,CTO Apps
QuestOne,0 - Tier 0,CTO Apps
RAMP ,0 - Tier 0,CTO Apps
Red Hat Satellite ,0 - Tier 0,CTO Apps
Remote Desktop Services ,0 - Tier 0,CTO Apps
Riverbed NetIM ,0 - Tier 0,CTO Apps
Riverbed Portal ,0 - Tier 0,CTO Apps
Salt Stack ,0 - Tier 0,CTO Apps
School Bandwidth (Cacti) ,0 - Tier 0,CTO Apps
School Monitoring Dashboard ,0 - Tier 0,CTO Apps
Schoolnet ,0 - Tier 0,CTO Apps
Scripting Management ,0 - Tier 0,CTO Apps
SDS Project ,0 - Tier 0,CTO Apps
Security Center ,0 - Tier 0,CTO Apps
ServiceNow ,0 - Tier 0,CTO Apps
Smart Building ,0 - Tier 0,CTO Apps
Splunk ,0 - Tier 0,CTO Apps
SPOCNOC ,0 - Tier 0,CTO Apps
Storage Springpath Controllers ,0 - Tier 0,CTO Apps
Storage/Virtualization Servers ,0 - Tier 0,CTO Apps
Symantec End Point Protection ,0 - Tier 0,CTO Apps
System Center Configuration Manager (SCCM) ,0 - Tier 0,CTO Apps
System Center Operation Manager (SCOM) ,0 - Tier 0,CTO Apps
System Center Orchestrator ,0 - Tier 0,CTO Apps
System Center Virtual Machine Manager (SCVMM) ,0 - Tier 0,CTO Apps
TAS Stemcell ,0 - Tier 0,CTO Apps
Thousand Eyes Agents ,0 - Tier 0,CTO Apps
TKGS ,0 - Tier 0,CTO Apps
vCenter ,0 - Tier 0,CTO Apps
vCenter Utility VMs ,0 - Tier 0,CTO Apps
VCF - TAS ,0 - Tier 0,CTO Apps
VCF Management Component,0 - Tier 0,CTO Apps
VEEAM ,0 - Tier 0,CTO Apps
Virtualization Team Test Servers ,0 - Tier 0,CTO Apps
VM Cluster: Cluster-1,0 - Tier 0,CTO Apps
VM Cluster: es00vx-w1c4-edge01,0 - Tier 0,CTO Apps
VM Cluster: es00vx-w2c3,0 - Tier 0,CTO Apps
VM Cluster: es00vx-w2c4,0 - Tier 0,CTO Apps
VM Cluster: es00vx-w2c5,0 - Tier 0,CTO Apps
VM Cluster: es00vx-w2c6,0 - Tier 0,CTO Apps
VM Cluster: es00vx-w2c6-edge01,0 - Tier 0,CTO Apps
VM Cluster: es20vx-w1c5-edge01,0 - Tier 0,CTO Apps
VM Cluster: es20vx-w2c7-edge01,0 - Tier 0,CTO Apps
VM Cluster: es55vx-w1c3-dmz01,0 - Tier 0,CTO Apps
VM Cluster: es55vx-w2c1-dev01,0 - Tier 0,CTO Apps
VM Cluster: OP0-DB,0 - Tier 0,CTO Apps
VM Cluster: OP0-Inf-Clstr,0 - Tier 0,CTO Apps
VM Cluster: OP0-Reserved,0 - Tier 0,CTO Apps
VM Cluster: OP0-SQL,0 - Tier 0,CTO Apps
VM Cluster: VC-Backup,0 - Tier 0,CTO Apps
VM Cluster: vC-Cluster-MGMT,0 - Tier 0,CTO Apps
VM Cluster: vC-Cluster-POC,0 - Tier 0,CTO Apps
VM Cluster: VC-USCM24-B200M4-28-DQ,0 - Tier 0,CTO Apps
VM Cluster: VC-USCM24-B200M4-28-PS,0 - Tier 0,CTO Apps
VMware Jump Box GMC Admins,0 - Tier 0,CTO Apps
VMWare Template,0 - Tier 0,CTO Apps
VMware vRealize Automation (vRA) ,0 - Tier 0,CTO Apps
VMware vRealize Operations (vROps) ,0 - Tier 0,CTO Apps
vRealize Log Insight ,0 - Tier 0,CTO Apps
vRealize Network Insight (vRNI) ,0 - Tier 0,CTO Apps
VxRail Manager ,0 - Tier 0,CTO Apps
WASP ,0 - Tier 0,CTO Apps
Web Connect ,0 - Tier 0,CTO Apps
WINS Servers ,0 - Tier 0,CTO Apps
BFIS (Building and Construction information) ,3 - Business Support,Family
Common Admin Tool (CAT) ,4 - Business Preferred,Family
DOE Intranet ,3 - Business Support,Family
DPP Admin ,3 - Business Support,Family
DSF Lead Water ,3 - Business Support,Family
EMMA - Emergency Management System ,4 - Business Preferred,Family
Family Access Management (FAM) ,2 - Business Essential,Family
Infohub ,3 - Business Support,Family
Intranet Site ,3 - Business Support,Family
LCGMS Downloadable Spreadsheets ,1 - Business Critical,Family
Medicaid CIN Consent ,4 - Business Preferred,Family
New York City Schools Account - Manage Account (NYCSA) ,1 - Business Critical,Family
New York City Schools Account - My Student (NYCSA) ,1 - Business Critical,Family
New York City Schools Account - Surveys (NYCSA) ,3 - Business Support,Family
NYC School Link ,3 - Business Support,Family
Parent Coordinator Activity Report (PCAR) ,4 - Business Preferred,Family
PSAL Admin Tool ,4 - Business Preferred,Family
PSAL Assign Personnel to Events System ,4 - Business Preferred,Family
PSAL Box score/Results Submission System ,4 - Business Preferred,Family
PSAL Communication tool ,4 - Business Preferred,Family
PSAL Content Management System (CMS) ,3 - Business Support,Family
PSAL Finance ,4 - Business Preferred,Family
PSAL iOS/Android Mobile APP ,4 - Business Preferred,Family
PSAL Maintenance System ,4 - Business Preferred,Family
PSAL MetroCard Shipment ,4 - Business Preferred,Family
PSAL New Team Request ,4 - Business Preferred,Family
PSAL Roster/Player Submission System ,4 - Business Preferred,Family
PSAL Scheduling ,4 - Business Preferred,Family
PSAL Sport Awards - Nominations/Voting ,4 - Business Preferred,Family
PSAL Summer Program ,4 - Business Preferred,Family
PSAL Time Keeping - Personnel Check In/Out ,4 - Business Preferred,Family
Public Apps ,3 - Business Support,Family
Public Apps - Fair Student Funding Detail (FSF Detail) ,4 - Business Preferred,Family
Public Apps - Fair Student Funding Overview (FSF Overview) ,4 - Business Preferred,Family
Public Apps - Galaxy Allocation (Finance) ,4 - Business Preferred,Family
Public Apps - LCGMS Run Time Extract ,4 - Business Preferred,Family
Public Apps - NYPD Crime Data ,4 - Business Preferred,Family
Public Apps - Quality Review ,4 - Business Preferred,Family
Public Apps - Today's Attendance ,4 - Business Preferred,Family
Public Schools Athletic League (PSAL) Website ,3 - Business Support,Family
Public Website ,3 - Business Support,Family
Resources ,3 - Business Support,Family
Resources – Contact Lists ,4 - Business Preferred,Family
Resources – Meal Code Report ,4 - Business Preferred,Family
Resources – My Human Resources Reports & Systems ,3 - Business Support,Family
Resources – My Workbooks & Data ,4 - Business Preferred,Family
Resources – Principals' Dashboard ,3 - Business Support,Family
Resources – Reasonable Accommodations Rosters ,3 - Business Support,Family
Student Information Data Repository (SIIDR) ,3 - Business Support,Family
Student Profile (SP) ,4 - Business Preferred,Family
Support for Families ,3 - Business Support,Family
Water Testing Tool ,4 - Business Preferred,Family
ADAM AD LDS instances ,3 - Business Support,Finance & Product Eng
Arts Reporting (ARTS) ,3 - Business Support,Finance & Product Eng
Azure Devops (FSBO) ,3 - Business Support,Finance & Product Eng
Azure DevOps (IET) ,3 - Business Support,Finance & Product Eng
Brocade Data Center Fabric Manager ,3 - Business Support,Finance & Product Eng
C-683 Admin ,3 - Business Support,Finance & Product Eng
CA ,3 - Business Support,Finance & Product Eng
Capacity Planning ,3 - Business Support,Finance & Product Eng
Certified Monthly Roster (CMR) ,3 - Business Support,Finance & Product Eng
Chapter 683 ,3 - Business Support,Finance & Product Eng
COGNOS BI 10 ,1 - Business Critical,Finance & Product Eng
Contract Aid Financial System (CAFS) ,3 - Business Support,Finance & Product Eng
Contract Processing System (CPS) ,3 - Business Support,Finance & Product Eng
Contract Tracking System (CTS) ,3 - Business Support,Finance & Product Eng
Core - Curriculum ,3 - Business Support,Finance & Product Eng
Core - Curriculum (NonProd Testing Only),3 - Business Support,Finance & Product Eng
Core - Inventory ,3 - Business Support,Finance & Product Eng
Core - Walkthrough ,3 - Business Support,Finance & Product Eng
Core Curriculum/Walkthrough ,3 - Business Support,Finance & Product Eng
CRM ,3 - Business Support,Finance & Product Eng
Custodial Payroll System (CPS) ,2 - Business Essential,Finance & Product Eng
Cybershift web Logic ,0 - Tier 0,Finance & Product Eng
Data Request Form (DRF) ,3 - Business Support,Finance & Product Eng
DataHub ,3 - Business Support,Finance & Product Eng
DELL EMC Management ,3 - Business Support,Finance & Product Eng
DELL Storage Integration Tools for VmWare ,3 - Business Support,Finance & Product Eng
Destiny Library Manager (Destiny) ,3 - Business Support,Finance & Product Eng
DEV Web ,3 - Business Support,Finance & Product Eng
Device Hub / Remote Learning Device Management (RLD) ,3 - Business Support,Finance & Product Eng
Device Hub / Remote Learning Device Request Form (RLD 1.0) ,3 - Business Support,Finance & Product Eng
DFOApps.nycenet.edu ,3 - Business Support,Finance & Product Eng
DFOForms.nycenet.edu ,3 - Business Support,Finance & Product Eng
DHS ,3 - Business Support,Finance & Product Eng
EasyTrack ,3 - Business Support,Finance & Product Eng
Endeca ,3 - Business Support,Finance & Product Eng
Enterprise Operational Data Store (EODS) ,3 - Business Support,Finance & Product Eng
Ephesoft ,3 - Business Support,Finance & Product Eng
Esker ,3 - Business Support,Finance & Product Eng
Esker Payroll ,3 - Business Support,Finance & Product Eng
External Web Services ,3 - Business Support,Finance & Product Eng
F5 ,3 - Business Support,Finance & Product Eng
FAMIS - Adjustments and Payments ,1 - Business Critical,Finance & Product Eng
FAMIS - Annual Inventory ,1 - Business Critical,Finance & Product Eng
FAMIS - Approval Box ,1 - Business Critical,Finance & Product Eng
FAMIS - Bank Survey Admin ,1 - Business Critical,Finance & Product Eng
FAMIS - Banking Survey ,1 - Business Critical,Finance & Product Eng
FAMIS - BNPS Invoice Tracking ,1 - Business Critical,Finance & Product Eng
FAMIS - Book Buy Back ,1 - Business Critical,Finance & Product Eng
FAMIS - Catalog Management Tool (CMT) ,1 - Business Critical,Finance & Product Eng
FAMIS - Certification of Delivery ,1 - Business Critical,Finance & Product Eng
FAMIS - Coach Bus ,1 - Business Critical,Finance & Product Eng
FAMIS - Consultant Service Approval ,1 - Business Critical,Finance & Product Eng
FAMIS - Control Panel ,1 - Business Critical,Finance & Product Eng
FAMIS - Core Curriculum Admin ,1 - Business Critical,Finance & Product Eng
FAMIS - Core Curriculum Reports ,1 - Business Critical,Finance & Product Eng
FAMIS - Core Report Card ,1 - Business Critical,Finance & Product Eng
FAMIS - Courier Service - Special Delivery ,1 - Business Critical,Finance & Product Eng
FAMIS - Diploma Ordering Tool ,1 - Business Critical,Finance & Product Eng
FAMIS - Document Conversion ,1 - Business Critical,Finance & Product Eng
FAMIS - Document Inquiry ,1 - Business Critical,Finance & Product Eng
FAMIS - Document Status ,1 - Business Critical,Finance & Product Eng
FAMIS - Equipment Disposition ,1 - Business Critical,Finance & Product Eng
FAMIS - Extract of financial data for yearly audit ,1 - Business Critical,Finance & Product Eng
FAMIS - Financial Processing ,1 - Business Critical,Finance & Product Eng
FAMIS - Fiscal Year End Account and Grant Table Roll ,1 - Business Critical,Finance & Product Eng
FAMIS - Fringe processing ,1 - Business Critical,Finance & Product Eng
FAMIS - Fuel Invoice and Maintenance ,1 - Business Critical,Finance & Product Eng
FAMIS - Impartial Hearing Financial Application ,1 - Business Critical,Finance & Product Eng
FAMIS - Internal Service Ordering (via ProTraxx) ,1 - Business Critical,Finance & Product Eng
FAMIS - Inventory for RISO TGI DANKA ,1 - Business Critical,Finance & Product Eng
FAMIS - MAINFRAME BATCH/HOST PROCESSING (FAMIS) ,1 - Business Critical,Finance & Product Eng
FAMIS - MPWaiver Tool ,1 - Business Critical,Finance & Product Eng
FAMIS - Multiple Task Award Contract Viewer for DCP ,1 - Business Critical,Finance & Product Eng
FAMIS - OnixEdit ,1 - Business Critical,Finance & Product Eng
FAMIS - Oracle Endeca Page Builder ,1 - Business Critical,Finance & Product Eng
FAMIS - P-Card Certification ,1 - Business Critical,Finance & Product Eng
FAMIS - P-Card Expense Reporting ,1 - Business Critical,Finance & Product Eng
FAMIS - Personal Computing Services (PCS) ,1 - Business Critical,Finance & Product Eng
FAMIS - PO Voucher ,1 - Business Critical,Finance & Product Eng
FAMIS - Portal ,1 - Business Critical,Finance & Product Eng
FAMIS - Pre-encumbrance ,1 - Business Critical,Finance & Product Eng
FAMIS - Procurement Card (P-Card) ,1 - Business Critical,Finance & Product Eng
FAMIS - Purchasing Application (PO) ,1 - Business Critical,Finance & Product Eng
FAMIS - Related Service Admin ,1 - Business Critical,Finance & Product Eng
FAMIS - School Zone ,1 - Business Critical,Finance & Product Eng
FAMIS - Shop DOE - e-Commerce (SHOPDOE) ,1 - Business Critical,Finance & Product Eng
FAMIS - Small Item Payment Process (SIPP) ,1 - Business Critical,Finance & Product Eng
FAMIS - SNAPPLE ,1 - Business Critical,Finance & Product Eng
FAMIS - Spending Plan Inquiry ,1 - Business Critical,Finance & Product Eng
FAMIS - Split Ratio (DOH) ,1 - Business Critical,Finance & Product Eng
FAMIS - ST3 (ST3) ,1 - Business Critical,Finance & Product Eng
FAMIS - Stop Payment ,1 - Business Critical,Finance & Product Eng
FAMIS - Table Maintenance ,1 - Business Critical,Finance & Product Eng
FAMIS - Teacher's Fellows Process ,1 - Business Critical,Finance & Product Eng
FAMIS - Teachers Choice Electronic Funds Transfer ,1 - Business Critical,Finance & Product Eng
FAMIS - Travel Reimbursement Approval and Certification (TRAC) ,1 - Business Critical,Finance & Product Eng
FAMIS - Universal Pre-Kindergarten Admin (UPKADMIN) ,1 - Business Critical,Finance & Product Eng
FAMIS - UWBS ,1 - Business Critical,Finance & Product Eng
FAMIS - VENDEX Caution Manager ,1 - Business Critical,Finance & Product Eng
FAMIS - Vendor Evaluation ,1 - Business Critical,Finance & Product Eng
FAMIS - Vendor Inquiry ,1 - Business Critical,Finance & Product Eng
FAMIS - Vendor Portal Admin ,1 - Business Critical,Finance & Product Eng
FAMIS - Voucher processing and reporting/V-Portal (UWBS) ,1 - Business Critical,Finance & Product Eng
FAMIS - VP E-Catalog Table Maintenance ,1 - Business Critical,Finance & Product Eng
FAMIS - Wokers Compensation ,1 - Business Critical,Finance & Product Eng
FAMIS - Workers Compensation ,1 - Business Critical,Finance & Product Eng
Filemaker Pro (FSBO) ,3 - Business Support,Finance & Product Eng
Financial Accounting Management Information System (FAMIS) ,3 - Business Support,Finance & Product Eng
Financial Accounting Management Information System (FAMIS) (NonProd  Testing Only),3 - Business Support,Finance & Product Eng
Foglight ,3 - Business Support,Finance & Product Eng
FSBO FTP ,3 - Business Support,Finance & Product Eng
FSBO Workstations ,3 - Business Support,Finance & Product Eng
Galaxy - ATR Assignments ,1 - Business Critical,Finance & Product Eng
Galaxy - Batch And Mainframe Processing ,1 - Business Critical,Finance & Product Eng
Galaxy ,1 - Business Critical,Finance & Product Eng
Galaxy - Galaxy Reports ,1 - Business Critical,Finance & Product Eng
Galaxy - Nomination and Staffing Hub ,1 - Business Critical,Finance & Product Eng
Galaxy - Role Management ,1 - Business Critical,Finance & Product Eng
Galaxy - Sentry ,1 - Business Critical,Finance & Product Eng
Galaxy - SOLAS ,1 - Business Critical,Finance & Product Eng
Galaxy - Staffing Hub Module (SHM) ,1 - Business Critical,Finance & Product Eng
Galaxy (SNY3) ,1 - Business Critical,Finance & Product Eng
Galaxy BA ,3 - Business Support,Finance & Product Eng
Grants Tracking System (GTS) ,3 - Business Support,Finance & Product Eng
Grants Tracking System (GTS) ,3 - Business Support,Finance & Product Eng
Hawkeye ,3 - Business Support,Finance & Product Eng
HostBridge ,3 - Business Support,Finance & Product Eng
Idera ,3 - Business Support,Finance & Product Eng
iLearn Admin Console (iLearn) ,3 - Business Support,Finance & Product Eng
Impartial Hearing System - DAITS ,3 - Business Support,Finance & Product Eng
Impartial Hearing System - SETSS ,3 - Business Support,Finance & Product Eng
Impartial Hearing System - Settlements ,3 - Business Support,Finance & Product Eng
Informatica ,3 - Business Support,Finance & Product Eng
IP Switch ,3 - Business Support,Finance & Product Eng
IPAM ,3 - Business Support,Finance & Product Eng
Kace ,3 - Business Support,Finance & Product Eng
LCGMS Application ,1 - Business Critical,Finance & Product Eng
Learning Management Integration ,3 - Business Support,Finance & Product Eng
Master Data Management ,3 - Business Support,Finance & Product Eng
MEDICAID - Spec Ed Claiming System ,3 - Business Support,Finance & Product Eng
Microsoft Dynamics ,3 - Business Support,Finance & Product Eng
MoveIT ,0 - Tier 0,Finance & Product Eng
MS CRM Dynamics - Ed Tech ,3 - Business Support,Finance & Product Eng
MS CRM Dynamics - ERMA ,3 - Business Support,Finance & Product Eng
MS CRM Dynamics - NSR ,3 - Business Support,Finance & Product Eng
MS CRM Dynamics - SPP ,3 - Business Support,Finance & Product Eng
MS CRM Dynamics - UPK/PKA ,3 - Business Support,Finance & Product Eng
MTAC - Client ,3 - Business Support,Finance & Product Eng
MTAC - PQS ,3 - Business Support,Finance & Product Eng
Multiple Task Award Contract (MTAC) - Plus ,3 - Business Support,Finance & Product Eng
Notification Hub (NHUB) ,3 - Business Support,Finance & Product Eng
OnBase ,3 - Business Support,Finance & Product Eng
Onix ,3 - Business Support,Finance & Product Eng
Package Deployment (PDQ) ,3 - Business Support,Finance & Product Eng
Parents Choice Invoice for Parents (RS) ,3 - Business Support,Finance & Product Eng
Parents Choice invoice for Parents (RS) (NonProd  Testing Only),3 - Business Support,Finance & Product Eng
Payroll Portal (PP) ,2 - Business Essential,Finance & Product Eng
Power Builder/Oracle - Stand Alone - SBER Support ,3 - Business Support,Finance & Product Eng
Power Builder/Oracle - Stand Alone - SBER Support ,3 - Business Support,Finance & Product Eng
PP - Administrative Payroll System (APRL) ,3 - Business Support,Finance & Product Eng
PP - APRL - Access Form ,3 - Business Support,Finance & Product Eng
PP - Bank Account Request ,2 - Business Essential,Finance & Product Eng
PP - C2 Form ,2 - Business Essential,Finance & Product Eng
PP - College Savings Web ,2 - Business Essential,Finance & Product Eng
PP - CPS Access Form ,3 - Business Support,Finance & Product Eng
PP - Electronic Funds Transfer Corrections ,2 - Business Essential,Finance & Product Eng
PP - Electronic Funds Transfer Reversal ,2 - Business Essential,Finance & Product Eng
PP - Electronic Funds Transfer Stop Payment ,2 - Business Essential,Finance & Product Eng
PP - Electronic Funds Transfer Web ,2 - Business Essential,Finance & Product Eng
PP - Employee Salary Adjustment Form ,2 - Business Essential,Finance & Product Eng
PP - Metro Card Web ,2 - Business Essential,Finance & Product Eng
PP - Over Payment ,2 - Business Essential,Finance & Product Eng
PP - Overtime Request Form ,2 - Business Essential,Finance & Product Eng
PP - Overtime Waiver Form ,2 - Business Essential,Finance & Product Eng
PP - Payables Inquiry Tracking ,2 - Business Essential,Finance & Product Eng
PP - Payroll Interactive Voice Recognition ,2 - Business Essential,Finance & Product Eng
PP - Payroll Register Web ,2 - Business Essential,Finance & Product Eng
